Form Number,Form Title,Form URL
8-1,Information for Victims of Domestic Violence,https://www.nycourts.gov/forms/information-victims-domestic-violence?topic=611&wrapped=true
8-6A,Firearms Search and Seizure Order,https://www.nycourts.gov/forms/firearms-search-and-seizure-order?topic=611&wrapped=true
8-7,Family Offense - Order of Dismissal,https://www.nycourts.gov/forms/family-offense-order-dismissal?topic=611&wrapped=true
8-A,Affirmation Identifying Party (Agency),https://www.nycourts.gov/forms/affirmation-identifying-party-agency?topic=611&wrapped=true
8-B,Affirmation Identifying Party (Private Placement),https://www.nycourts.gov/forms/affirmation-identifying-party-private-placement?topic=611&wrapped=true
9-A,Affirmation of Financial Disclosure – Parents (Agency),https://www.nycourts.gov/forms/affirmation-financial-disclosure-parents-agency?topic=611&wrapped=true
9-B,Affirmation of Financial Disclosure – Parents (Private-Placement),https://www.nycourts.gov/forms/affirmation-financial-disclosure-parents-private-placement?topic=611&wrapped=true
10-1c,Application For Temporary Removal of Child (before Petition Filed),https://www.nycourts.gov/forms/application-temporary-removal-child-petition-filed
10-4,Application for Return of Child Temporarily Removed from Home,https://www.nycourts.gov/forms/application-return-child-temporarily-removed-home
10-7a,Child Abuse Summons,https://www.nycourts.gov/forms/child-abuse-summons
10-8a,Application to Restore Case Adjourned in Contemplation of Dismissal to Calendar,https://www.nycourts.gov/forms/application-restore-case-adjourned-contemplation-dismissal-calendar
10-9,Determination Upon Fact-finding Hearing,https://www.nycourts.gov/forms/determination-upon-fact-finding-hearing
10-11b,Affirmation in Support of Motion to Terminate Placement,https://www.nycourts.gov/forms/affirmation-support-motion-terminate-placement?topic=611&wrapped=true
10-13a,Affirmation in Support of Motion for an Order of Violation of Order of Disposition,https://www.nycourts.gov/forms/affirmation-support-motion-order-violation-order-disposition?topic=611&wrapped=true
10-29 off hours,Child Protective-Order on Application for Access to Child(ren) and/or Home before Petition Filed (plus off-hours protocol),https://www.nycourts.gov/forms/child-protective-order-application-access-children-andor-home-petition-filed-plus-hours
10-29a,Child Protective - Application for Order for Access to Child(ren) and/or Home-Before Petition Filed,https://www.nycourts.gov/forms/child-protective-application-order-access-children-andor-home-petition-filed
10-29b,Child Protective - Report After Court Order - Order for Pre-petition Access to Child(ren) and/or Home,https://www.nycourts.gov/forms/child-protective-report-after-court-order-order-pre-petition-access-children-andor-home
10-C,Affirmation Of No Appeal,https://www.nycourts.gov/forms/affirmation-no-appeal?topic=611&wrapped=true
10-C-1,Destitute Child Petition,https://www.nycourts.gov/forms/destitute-child-petition
10-c-2,Destitute Child - Preliminary Order,https://www.nycourts.gov/forms/destitute-child-preliminary-order
10-C-3,Destitute Child - Order for Services,https://www.nycourts.gov/forms/destitute-child-order-services
10-C-4,Destitute Child - Order of Fact-finding and Disposition,https://www.nycourts.gov/forms/destitute-child-order-fact-finding-and-disposition
14,Certificate Of Adoption,https://www.nycourts.gov/forms/certificate-adoption
15-A,Application for Certified Copy of Adoption Order (before sealing of records),https://www.nycourts.gov/forms/application-certified-copy-adoption-order-sealing-records
16-A,Application for Certified Copy of Adoption Order (after sealing of records),https://www.nycourts.gov/forms/application-certified-copy-adoption-order-after-sealing-records
21-E,Affirmation (Change of circumstances since certification as qualified adoptive parent),https://www.nycourts.gov/forms/affirmation-change-circumstances-certification-qualified-adoptive-parent?topic=611&wrapped=true
23,Affirmation and Report (Disinterested Person Certification Proceeding) (Private Placement),https://www.nycourts.gov/forms/affirmation-and-report-disinterested-person-certification-proceeding-private-placement?topic=611&wrapped=true
26-A,Affirmation and Report (Disinterested Person - Extension of Expired Certification),https://www.nycourts.gov/forms/affirmation-and-report-disinterested-person-extension-expired-certification?topic=611&wrapped=true
27-A,Adoption-Petition for Access to Sealed Adoption Records,https://www.nycourts.gov/forms/adoption-petition-access-sealed-adoption-records?topic=611&wrapped=true
27-B,Adoption–Notice of Petition for Access to Sealed Adoption Records,https://www.nycourts.gov/forms/adoption-notice-petition-access-sealed-adoption-records?topic=611&wrapped=true
27-C,Adoption–Affirmation of Service of Petition for Access to Sealed Adoption Records,https://www.nycourts.gov/forms/adoption-affirmation-service-petition-access-sealed-adoption-records?topic=611&wrapped=true
27-D,Adoption–Waiver of Notice of Petition for Access to Sealed Adoption Records,https://www.nycourts.gov/forms/adoption-waiver-notice-petition-access-sealed-adoption-records?topic=611&wrapped=true
27-E,Adoption–Order on Petition for Access to Sealed Adoption Records,https://www.nycourts.gov/forms/adoption-order-petition-access-sealed-adoption-records?topic=611&wrapped=true
29b,Consent to Adult Adoption by Adoptee,https://www.nycourts.gov/forms/consent-adult-adoption-adoptee
DOH-4455,Adoption Information Registry Birth Parent Registration Form,https://www.nycourts.gov/forms/adoption-information-registry-birth-parent-registration-form?topic=611&wrapped=true
GF-2a,Affirmation,https://www.nycourts.gov/forms/affirmation?topic=611&wrapped=true
GF-4,Court-Issued Subpoena,https://www.nycourts.gov/forms/court-issued-subpoena
GF-5b,Affirmation in Support of Issuance of Family Court Temporary Order of Protection (Individual Complainant/Petitioner),https://www.nycourts.gov/forms/affirmation-support-issuance-family-court-temporary-order-protection-individual?topic=611&wrapped=true
GF-5c (CRIM-4),"Affirmation in Support of Issuance of Family Court Temporary Order of Protection (Peace or Police Officer, Agency, or Designated Person)",https://www.nycourts.gov/forms/affirmation-support-issuance-family-court-temporary-order-protection-peace-or-police-officer?topic=611&wrapped=true
GF-5d (CRIM-5; SC-3),Affirmation in Support of Modification of Family Court Temporary Order of Protection or Order of Protection,https://www.nycourts.gov/forms/affirmation-support-modification-family-court-temporary-order-protection-or-order-protection?topic=611&wrapped=true
GF-5e,Affirmation In Support Of Entry Of Out Of State Order Of Protection Or Temporary Order Of Protection Onto Statewide Registry Of Orders Of Protection,https://www.nycourts.gov/forms/affirmation-support-entry-out-state-order-protection-or-temporary-order-protection-statewide?topic=611&wrapped=true
GF-5e,Affirmation in Support of Entry of Out-of-State Order of Protection or Temporary Order of Protection onto Statewide Registry of Orders of Protection,https://www.nycourts.gov/forms/affirmation-support-entry-out-state-order-protection-or-temporary-order-protection-0?topic=611&wrapped=true
GF-10a,Affirmation in Support of Motion - Extension or Modification of Order of Protection,https://www.nycourts.gov/forms/affirmation-support-motion-extension-or-modification-order-protection?topic=611&wrapped=true
GF-12-a,Affirmation Of Party Under CPLR §3103(A),https://www.nycourts.gov/forms/affirmation-party-under-cplr-ss3103a?topic=611&wrapped=true
GF-12-d,Affirmation of Counsel Under CPLR 3103(a),https://www.nycourts.gov/forms/affirmation-counsel-under-cplr-3103a?topic=611&wrapped=true
GF-12-f,Affirmation of Non-disclosure of Forensic Report and/or Materials and Data,https://www.nycourts.gov/forms/affirmation-non-disclosure-forensic-report-andor-materials-and-data?topic=611&wrapped=true
GF-17b,Affirmation of Child in Support of Motion for an Order for Sibling Placement or Contact,https://www.nycourts.gov/forms/affirmation-child-support-motion-order-sibling-placement-or-contact?topic=611&wrapped=true
GF-17c,Affirmation of Attorney for Child in Support of Motion for an Order for Sibling Placement or Contact),https://www.nycourts.gov/forms/affirmation-attorney-child-support-motion-order-sibling-placement-or-contact?topic=611&wrapped=true
GF-21,Address Confidentiality Affirmation,https://www.nycourts.gov/forms/address-confidentiality-affirmation-0?topic=611&wrapped=true
GF-21a,Address Confidentiality Order - Order,https://www.nycourts.gov/forms/address-confidentiality-order-order?topic=611&wrapped=true
GF-29,Appearance Notice,https://www.nycourts.gov/forms/appearance-notice
GF-31,Affirmation (Indian Child Welfare Act),https://www.nycourts.gov/forms/affirmation-indian-child-welfare-act?topic=611&wrapped=true
GF-32,Addendum to Order – Findings of Fact and Conclusions of Law -- Indian Child Welfare Act),https://www.nycourts.gov/forms/addendum-order-findings-fact-and-conclusions-law-indian-child-welfare-act-0?topic=611&wrapped=true
GF-36b,Affirmation in Support of Motion for An Order That Reasonable Efforts Are Not Required,https://www.nycourts.gov/forms/affirmation-support-motion-order-reasonable-efforts-are-not-required?topic=611&wrapped=true
GF-45,Family First Prevention Services Act - Notice of Motion for Approval of Placement in a Qualified Residential Treatment Program (QRTP),https://www.nycourts.gov/forms/family-first-prevention-services-act-notice-motion-approval-placement-qualified-residential?topic=611&wrapped=true
GF-45a,Family First Prevention Services Act - Affidavit in Support of Placement in a Qualified Residential Treatment Program (QRTP),https://www.nycourts.gov/forms/family-first-prevention-services-act-affidavit-support-placement-qualified-residential?topic=611&wrapped=true
GF-46,Family First Prevention Services Act - Order on Motion for Approval of Placement in a Qualified Residential Treatment Program (QRTP),https://www.nycourts.gov/forms/family-first-prevention-services-act-order-motion-approval-placement-qualified-residential?topic=611&wrapped=true
GF-48,Family Court Personal Information Form,https://www.nycourts.gov/forms/family-court-personal-information-form?topic=611&wrapped=true
GF-49,Extra Page for Family Court Form,https://www.nycourts.gov/forms/extra-page-family-court-form?topic=611&wrapped=true
GF-50,Application for Assignment of Counsel,https://www.nycourts.gov/forms/application-assignment-counsel?topic=611&wrapped=true
GF-51,Application for Reconsideration of Denial of Assignment of Counsel,https://www.nycourts.gov/forms/application-reconsideration-denial-assignment-counsel?topic=611&wrapped=true
ICPC-100A,Interstate Compact on the Placement of Children Request,https://www.nycourts.gov/forms/interstate-compact-placement-children-request?topic=611&wrapped=true
OCFS-4156,Adoption: Family Court/Surrogate Court Request Form,https://www.nycourts.gov/forms/adoption-family-courtsurrogate-court-request-form?topic=611&wrapped=true
PH-7b,Affirmation by Youth in Support of Motion to Re-enter Foster Care,https://www.nycourts.gov/forms/affirmation-youth-support-motion-re-enter-foster-care?topic=611&wrapped=true
PH-7c,Affirmation by Agency in Support of Order to Show Cause (Reentry into Foster Care),https://www.nycourts.gov/forms/affirmation-agency-support-order-show-cause-reentry-foster-care?topic=611&wrapped=true
SURR-1a,Affirmation of Caseworker Regarding Persons Entitled to Notice of Surrender of Child in Foster Care,https://www.nycourts.gov/forms/affirmation-caseworker-regarding-persons-entitled-notice-surrender-child-foster-care?topic=611&wrapped=true
SURR-4,Affirmation of Authorized Agency Employee Witness to Execution of Extra-Judicial Surrender Instrument of Child in Foster Care,https://www.nycourts.gov/forms/affirmation-authorized-agency-employee-witness-execution-extra-judicial-surrender-instrument?topic=611&wrapped=true
SURR-4-a,Affidavit of Independent Witness to Execution of Extra-Judicial Surrender Instrument of Child in Foster Care,https://www.nycourts.gov/forms/affidavit-independent-witness-execution-extra-judicial-surrender-instrument-child-foster-care?topic=611&wrapped=true
SURR-5,Affirmation of Authorized Agency Employee Responsible for Arranging Supportive Counseling- Extra-Judicial Surrender of Child in Foster Care,https://www.nycourts.gov/forms/affirmation-authorized-agency-employee-responsible-arranging-supportive-counseling-extra?topic=611&wrapped=true
SURR-5-a,Affidavit of Provider of Supportive Counseling- Extra-Judicial Surrender of Child in Foster Care,https://www.nycourts.gov/forms/affidavit-provider-supportive-counseling-extra-judicial-surrender-child-foster-care?topic=611&wrapped=true
TPR-1b,Affirmation of Caseworker Regarding Persons Entitled to Notice of Proceeding to Terminate Parental Rights of Child in Foster Care,https://www.nycourts.gov/forms/affirmation-caseworker-regarding-persons-entitled-notice-proceeding-terminate-parental-rights?topic=611&wrapped=true
TPR-12,Affirmation Regarding Venue - Termination of Parental Rights,https://www.nycourts.gov/forms/affirmation-regarding-venue-termination-parental-rights
TRP-2a,"Findings of Fact, Conclusions of Law, and Order of Disposition-Suspended Judgement - Permanent Neglect",https://www.nycourts.gov/forms/findings-fact-conclusions-law-and-order-disposition-suspended-judgement-permanent-neglect
UCCJEA-3,Affirmation - UCCJEA,https://www.nycourts.gov/forms/affirmation-uccjea?topic=611&wrapped=true
UCCJEA-7,"Electronic Testimony Application, Waiver of Personal Appearance and Order",https://www.nycourts.gov/forms/electronic-testimony-application-waiver-personal-appearance-and-order-0
UCCJEA-14,Affirmation Application for Registration of an Out-of-State Custody/Visitation Order - UCCJEA,https://www.nycourts.gov/forms/affirmation-application-registration-out-state-custodyvisitation-order-uccjea?topic=611&wrapped=true
UCCJEA-19,Certification of Registration of Out-of-State Order of Custody/Visitation,https://www.nycourts.gov/forms/certification-registration-out-state-order-custodyvisitation
UIFSA-1,Child Support Enforcement Transmittal #1 Initial Request,https://www.nycourts.gov/forms/child-support-enforcement-transmittal-1-initial-request
UIFSA-2,Child Support Enforcement Transmittal #2 Subsequent Actions,https://www.nycourts.gov/forms/child-support-enforcement-transmittal-2-subsequent-actions
UIFSA-3,Child Support Enforcement Transmittal #3 Request for Assistance/Discovery,https://www.nycourts.gov/forms/child-support-enforcement-transmittal-3-request-assistancediscovery
UIFSA-5,General Testimony,https://www.nycourts.gov/forms/general-testimony
UIFSA-5a,Instructions for General Testimony,https://www.nycourts.gov/forms/instructions-general-testimony
UIFSA-6,Affidavit in Support of Establishment of Paternity,https://www.nycourts.gov/forms/affidavit-support-establishment-paternity
UIFSA-14,Child Support Agency Confidential Information Form,https://www.nycourts.gov/forms/child-support-agency-confidential-information-form
--,Affirmation in Support of Request for a Court Appointed Attorney,https://www.nycourts.gov/forms/affirmation-support-request-court-appointed-attorney?topic=611&wrapped=true
--,Application for an Order to Terminate or Sever Lease (Criminal),https://www.nycourts.gov/forms/application-order-terminate-or-sever-lease-criminal?topic=611&wrapped=true
--,Court Records Request by Mail or Email Form,https://www.nycourts.gov/forms/court-records-request-mail-or-email-form
--,Court Reporter Transcript Request Form,https://www.nycourts.gov/forms/court-reporter-transcript-request-form
--,Electronic Recording Transcript Request Form,https://www.nycourts.gov/forms/electronic-recording-transcript-request-form
2-F,Judicial Consent (Birth or Legal Parent Private Placement),https://www.nycourts.gov/forms/judicial-consent-birth-or-legal-parent-private-placement?topic=611&wrapped=true
2-Fa,Judicial Consent of Birth or Legal Parent to Adoption by Stepparent,https://www.nycourts.gov/forms/judicial-consent-birth-or-legal-parent-adoption-stepparent?topic=611&wrapped=true
3,Order Directing Service of Notice,https://www.nycourts.gov/forms/order-directing-service-notice?topic=611&wrapped=true
3-2,Order for Change of Venue,https://www.nycourts.gov/forms/order-change-venue?topic=611&wrapped=true
3-5,Order Directing Release from Detention,https://www.nycourts.gov/forms/order-directing-release-detention?topic=611&wrapped=true
3-5,Order Directing Release of Respondent from Detention,https://www.nycourts.gov/forms/order-directing-release-respondent-detention?topic=611&wrapped=true
3-6,Order Directing Detention (Pre-Petition),https://www.nycourts.gov/forms/order-directing-detention-pre-petition?topic=611&wrapped=true
3-7,Juvenile Delinquency Petition,https://www.nycourts.gov/forms/juvenile-delinquency-petition?topic=611&wrapped=true
3-11,Order Directing Detention,https://www.nycourts.gov/forms/order-directing-detention?topic=611&wrapped=true
3-11a,Order Directing Release of Respondent with Conditions,https://www.nycourts.gov/forms/order-directing-release-respondent-conditions?topic=611&wrapped=true
3-14,Order Directing Examination to Determine Capacity,https://www.nycourts.gov/forms/order-directing-examination-determine-capacity?topic=611&wrapped=true
3-15,Notice of Hearing,https://www.nycourts.gov/forms/notice-hearing?topic=611&wrapped=true
3-16,Order Extending Time for Examination to Determine Capacity,https://www.nycourts.gov/forms/order-extending-time-examination-determine-capacity?topic=611&wrapped=true
3-21,Order (Extension of Period of Commitment for Lack of Capacity),https://www.nycourts.gov/forms/order-extension-period-commitment-lack-capacity?topic=611&wrapped=true
3-23,Order Dismissing Petition for Lack of Capacity,https://www.nycourts.gov/forms/order-dismissing-petition-lack-capacity?topic=611&wrapped=true
3-25,Order (Modifying Order of Commitment for Lack of Capacity),https://www.nycourts.gov/forms/order-modifying-order-commitment-lack-capacity?topic=611&wrapped=true
3-27,Order Determining Capacity Prior to Commitment,https://www.nycourts.gov/forms/order-determining-capacity-prior-commitment?topic=611&wrapped=true
3-37,Notice of Disposition or Termination of Proceeding,https://www.nycourts.gov/forms/notice-disposition-or-termination-proceeding?topic=611&wrapped=true
3-39,Order - Extension of Placement and Permanency Hearing Order,https://www.nycourts.gov/forms/order-extension-placement-and-permanency-hearing-order?topic=611&wrapped=true
3-41,Order - Violation of Order of Probation or Conditional Discharge,https://www.nycourts.gov/forms/order-violation-order-probation-or-conditional-discharge?topic=611&wrapped=true
3-46,Order for HIV Related Testing,https://www.nycourts.gov/forms/order-hiv-related-testing?topic=611&wrapped=true
3-47,Notice of Placement,https://www.nycourts.gov/forms/notice-placement?topic=611&wrapped=true
4,Notice of Proposed Adoption,https://www.nycourts.gov/forms/notice-proposed-adoption?topic=611&wrapped=true
4-6,Order - Temporary Order of Support (and Referral to Support Magistrate),https://www.nycourts.gov/forms/order-temporary-order-support-and-referral-support-magistrate?topic=611&wrapped=true
4-7a,Order (After Filing of Objections),https://www.nycourts.gov/forms/order-after-filing-objections?topic=611&wrapped=true
4-7a,Order After Filing of Objections,https://www.nycourts.gov/forms/order-after-filing-objections-0?topic=611&wrapped=true
4-7b,Objection to Support Order,https://www.nycourts.gov/forms/objection-support-order?topic=611&wrapped=true
4-8c,Order - Order to Correct Income Execution for Support Enforcement,https://www.nycourts.gov/forms/order-order-correct-income-execution-support-enforcement?topic=611&wrapped=true
4-9,Order - Income Deduction Order,https://www.nycourts.gov/forms/order-income-deduction-order?topic=611&wrapped=true
4-9a,LDDS-5038: Income Withholding Order (Spousal Support only,https://www.nycourts.gov/forms/ldds-5038-income-withholding-order-spousal-support-only?topic=611&wrapped=true
4-9b,LDSS-5039: Income Withholding for Support: General Information and Instructions,https://www.nycourts.gov/forms/ldss-5039-income-withholding-support-general-information-and-instructions?topic=611&wrapped=true
4-10,Order - Qualified Medical Child Support Order (Non-IV-D Cases),https://www.nycourts.gov/forms/order-qualified-medical-child-support-order-non-iv-d-cases?topic=611&wrapped=true
4-12c,Order - Order Upon Support Magistrate Determination of Willfulness,https://www.nycourts.gov/forms/order-order-upon-support-magistrate-determination-willfulness?topic=611&wrapped=true
4-12c,Order (Support Magistrate Determination FCA Section 156),https://www.nycourts.gov/forms/order-support-magistrate-determination-fca-section-156?topic=611&wrapped=true
4-13a,Order Enforcing an Order,https://www.nycourts.gov/forms/order-enforcing-order?topic=611&wrapped=true
4-13a,Order Enforcing Order Made By Another Court (Support),https://www.nycourts.gov/forms/order-enforcing-order-made-another-court-support?topic=611&wrapped=true
4-14,Order - Entry of Money Judgment,https://www.nycourts.gov/forms/order-entry-money-judgment?topic=611&wrapped=true
4-14,Order (Entry Money Judgment),https://www.nycourts.gov/forms/order-entry-money-judgment-0?topic=611&wrapped=true
4-15a,Order (Relief from Support Payments and Commitment),https://www.nycourts.gov/forms/order-relief-support-payments-and-commitment?topic=611&wrapped=true
4-16,"Notice of Motion to Quash, Fix or Modify Conditions of a Child Support Subpoena",https://www.nycourts.gov/forms/notice-motion-quash-fix-or-modify-conditions-child-support-subpoena?topic=611&wrapped=true
4-19,Objection to Proposed Adjusted Order,https://www.nycourts.gov/forms/objection-proposed-adjusted-order?topic=611&wrapped=true
4-19a,Order Determining Objection to Proposed Adjustment,https://www.nycourts.gov/forms/order-determining-objection-proposed-adjustment?topic=611&wrapped=true
4-19b,Order Determining Objection to Adjusted Order (Cost of Living Adjustment),https://www.nycourts.gov/forms/order-determining-objection-adjusted-order-cost-living-adjustment?topic=611&wrapped=true
4-20,Notice of Motion to Vacate Adjusted Order of Support,https://www.nycourts.gov/forms/notice-motion-vacate-adjusted-order-support?topic=611&wrapped=true
4-22,Objection to Support Collection Unit Denial of Challenge to Driver's License Suspension,https://www.nycourts.gov/forms/objection-support-collection-unit-denial-challenge-drivers-license-suspension?topic=611&wrapped=true
4-22a,Order - Determination of Objections to Support Collection Unit Review of Driver's License Suspension Order,https://www.nycourts.gov/forms/order-determination-objections-support-collection-unit-review-drivers-license-suspension?topic=611&wrapped=true
5-4,Notice of Motion to Challenge Genetic Marker or DNA testing Directive,https://www.nycourts.gov/forms/notice-motion-challenge-genetic-marker-or-dna-testing-directive?topic=611&wrapped=true
5-6,Order for Blood Genetic Marker Test,https://www.nycourts.gov/forms/order-blood-genetic-marker-test?topic=611&wrapped=true
5-6,Order for Genetic Marker Test,https://www.nycourts.gov/forms/order-genetic-marker-test?topic=611&wrapped=true
5-6a,Order - Temporary Order of Support After DNA Ordered,https://www.nycourts.gov/forms/order-temporary-order-support-after-dna-ordered?topic=611&wrapped=true
5-C-2,Order (Surrogacy Agreement),https://www.nycourts.gov/forms/order-surrogacy-agreement?topic=611&wrapped=true
5-C-4,Order (Assisted Reproduction),https://www.nycourts.gov/forms/order-assisted-reproduction?topic=611&wrapped=true
6-2,Oath and Designation for Service of Process,https://www.nycourts.gov/forms/oath-and-designation-service-process?topic=611&wrapped=true
6-5,Order Appointing Guardian of the Person,https://www.nycourts.gov/forms/order-appointing-guardian-person?topic=611&wrapped=true
6-5-a,Order Appointing Kinship Guardian [Subsidized Kinship Guardian Program] and/or Permanent Guardian,https://www.nycourts.gov/forms/order-appointing-kinship-guardian-subsidized-kinship-guardian-program-andor-permanent?topic=611&wrapped=true
6-6,Letters of Guardianship of the Person of a Minor,https://www.nycourts.gov/forms/letters-guardianship-person-minor?topic=611&wrapped=true
6-9,Order Appointing A Standby Guardian of the Person,https://www.nycourts.gov/forms/order-appointing-standby-guardian-person?topic=611&wrapped=true
7-2,Order - Directing Release of Child from Detention,https://www.nycourts.gov/forms/order-directing-release-child-detention?topic=611&wrapped=true
7-3,Order Directing Detention (Post-Petition),https://www.nycourts.gov/forms/order-directing-detention-post-petition?topic=611&wrapped=true
7-12,Order (Discontinuation of Treatment),https://www.nycourts.gov/forms/order-discontinuation-treatment?topic=611&wrapped=true
7-16,Order - Violation of Order of Disposition - Probation/Suspended Judgment,https://www.nycourts.gov/forms/order-violation-order-disposition-probationsuspended-judgment?topic=611&wrapped=true
7-17,Order - Violation of Order of Placement,https://www.nycourts.gov/forms/order-violation-order-placement?topic=611&wrapped=true
7-19,Order - Extension of Placement and Permanency Hearing Order (PINS),https://www.nycourts.gov/forms/order-extension-placement-and-permanency-hearing-order-pins?topic=611&wrapped=true
7-20,Notice of Right of Respondent to Appeal,https://www.nycourts.gov/forms/notice-right-respondent-appeal?topic=611&wrapped=true
8-3,Notice to the District Attorney,https://www.nycourts.gov/forms/notice-district-attorney?topic=611&wrapped=true
8-6,Order - Firearms Licenses and Surrenders,https://www.nycourts.gov/forms/order-firearms-licenses-and-surrenders?topic=611&wrapped=true
10-1,Order (Directing Temporary Removal Of Child Before Petition Filed),https://www.nycourts.gov/forms/order-directing-temporary-removal-child-petition-filed-0?topic=611&wrapped=true
10-1,Order Directing Temporary Removal of Child--Before Petition Filed,https://www.nycourts.gov/forms/order-directing-temporary-removal-child-petition-filed?topic=611&wrapped=true
10-1a,Notice (Temporary Removal of Child and Right to Hearing),https://www.nycourts.gov/forms/notice-temporary-removal-child-and-right-hearing?topic=611&wrapped=true
10-2,Order (Directing Temporary Removal Of Child After Petition Filed),https://www.nycourts.gov/forms/order-directing-temporary-removal-child-after-petition-filed-0?topic=611&wrapped=true
10-2,Order Directing Temporary Removal of Child--After Petition Filed,https://www.nycourts.gov/forms/order-directing-temporary-removal-child-after-petition-filed?topic=611&wrapped=true
10-3,Order Directing Medical Examination,https://www.nycourts.gov/forms/order-directing-medical-examination?topic=611&wrapped=true
10-7d,Notice to Non-Respondent Parent(s),https://www.nycourts.gov/forms/notice-non-respondent-parents?topic=611&wrapped=true
10-7d,Order (Notice to Non-Respondent Parents),https://www.nycourts.gov/forms/order-notice-non-respondent-parents?topic=611&wrapped=true
