Form Number,Form Title,Form URL
1-Ca,Affirmation (Change of circumstance since certification as qualified adoptive parents) (Private Placement),https://www.nycourts.gov/forms/affirmation-change-circumstance-certification-qualified-adoptive-parents-private-placement?topic=611&wrapped=true
1-D,Child's Medical History,https://www.nycourts.gov/forms/childs-medical-history
1-E,Affirmation Regarding Venue,https://www.nycourts.gov/forms/affirmation-regarding-venue
1-F,Determination of Family Court Judge Regarding Venue,https://www.nycourts.gov/forms/determination-family-court-judge-regarding-venue
2-A,Agreement of Adoption and Consent (Agency),https://www.nycourts.gov/forms/agreement-adoption-and-consent-agency-0
2-B,Agreement of Adoption (Private Placement),https://www.nycourts.gov/forms/agreement-adoption-private-placement
2-C,Consent of Child Over 14 (Agency),https://www.nycourts.gov/forms/consent-child-over-14-agency
2-D,Consent of Child Over 14 (Private Placement),https://www.nycourts.gov/forms/consent-child-over-14-private-placement
2-E,Affirmation and Consent of Person Having Lawful Custody (Other than Birth or Legal Parent - Private Placement),https://www.nycourts.gov/forms/affirmation-and-consent-person-having-lawful-custody-other-birth-or-legal-parent-private?topic=611&wrapped=true
2-G,Extra-Judicial Consent (Birth or Legal Parent - Private Placement),https://www.nycourts.gov/forms/extra-judicial-consent-birth-or-legal-parent-private-placement
2-Ga,Extra-Judicial Consent (Birth or Legal Parent - Private Placement Stepparent),https://www.nycourts.gov/forms/extra-judicial-consent-birth-or-legal-parent-private-placement-stepparent
3-4,Application - Pre-Petition Detention,https://www.nycourts.gov/forms/application-pre-petition-detention
3-17,Examination Report to Determine Capacity,https://www.nycourts.gov/forms/examination-report-determine-capacity
3-48,Close to Home - Order on Petition to Modify Placement,https://www.nycourts.gov/forms/close-home-order-petition-modify-placement
3-49,Close to Home - Order on Petition to Transfer Placement to NYS OCFS,https://www.nycourts.gov/forms/close-home-order-petition-transfer-placement-nys-ocfs
4-3b,Addendum to Support Petition - Request for Child Support (IV-D) Services,https://www.nycourts.gov/forms/addendum-support-petition-request-child-support-iv-d-services?topic=611&wrapped=true
4-8,Application for Income Execution for Support Enforcement (Clerk of Court),https://www.nycourts.gov/forms/application-income-execution-support-enforcement-clerk-court
4-17,Affirmation - Financial Disclosure - Long Form,https://www.nycourts.gov/forms/affirmation-financial-disclosure-long-form?topic=611&wrapped=true
4-17,Financial Disclosure Affirmation,https://www.nycourts.gov/forms/financial-disclosure-affirmation
4-17a,Affirmation - Financial Disclosure - Short Form,https://www.nycourts.gov/forms/affirmation-financial-disclosure-short-form?topic=611&wrapped=true
4-17a,Financial Disclosure Affirmation (Short Form),https://www.nycourts.gov/forms/financial-disclosure-affirmation-short-form
4-20a,Affirmation in Support of Motion to Vacate Adjusted Order of Support,https://www.nycourts.gov/forms/affirmation-support-motion-vacate-adjusted-order-support?topic=611&wrapped=true
4-21,Enforcement of Arrears - Order to Licensing Entity,https://www.nycourts.gov/forms/enforcement-arrears-order-licensing-entity
4-22a,Enforcement of Arrearages - Determination of Objections,https://www.nycourts.gov/forms/enforcement-arrearages-determination-objections
"4-24, 5-16, UIFSA-10","Electronic Testimony Application, Waiver of Personal Appearance and Order",https://www.nycourts.gov/forms/electronic-testimony-application-waiver-personal-appearance-and-order
4-25a,Child Support - Motion to Vacate for Lack of Service,https://www.nycourts.gov/forms/child-support-motion-vacate-lack-service
4-25b,Child Support- Affirmation in Support of Motion to Vacate for Lack of Service,https://www.nycourts.gov/forms/child-support-affirmation-support-motion-vacate-lack-service
4-26,Child Support - Order on Motion to Vacate for Lack of Service,https://www.nycourts.gov/forms/child-support-order-motion-vacate-lack-service
4-SM-2,Information Concerning Filing of Objections and Rebuttal in a Proceeding Before a Support Magistrate,https://www.nycourts.gov/forms/information-concerning-filing-objections-and-rebuttal-proceeding-support-magistrate
4-SM-3,Findings of Fact - Paternity,https://www.nycourts.gov/forms/findings-fact-paternity
6-3,Consent of Person Over 18 and Preference of Person Over 14 Regarding Appointment of Guardian,https://www.nycourts.gov/forms/consent-person-over-18-and-preference-person-over-14-regarding-appointment-guardian
6-7,Certificate of Guardian of Person of a Minor,https://www.nycourts.gov/forms/certificate-guardian-person-minor
6-10,Determination of Incapacity,https://www.nycourts.gov/forms/determination-incapacity
6-11,Consent of Petitioner,https://www.nycourts.gov/forms/consent-petitioner
7-5,Determination Upon Fact-Finding Hearing,https://www.nycourts.gov/forms/determination-upon-fact-finding-hearing-0
7-7,Application to Restore to Calendar,https://www.nycourts.gov/forms/application-restore-calendar
