Original Form Number,Original Form Title,Form URL,Extracted Form Number,Case Type,Legal Action,Original PDF URLs,Resolved PDF URLs,PDF Filenames
GF-30,Summons (Publication),https://www.nycourts.gov/forms/summons-publication?topic=611&wrapped=true,GF-30,"Family Forms, General - Family",,https://www.nycourts.gov/media/14971|https://www.nycourts.gov/media/14976,https://webfiles.nycourts.gov/public/2025-12/gf-30.pdf|https://webfiles.nycourts.gov/public/2025-12/gf-30.wpd,gf-30.pdf|gf-30.wpd
GF-40,Petition for Modification of Custody/Visitation Order Made by Supreme or Family Court,https://www.nycourts.gov/forms/petition-modification-custodyvisitation-order-made-supreme-or-family-court?topic=611&wrapped=true,GF-40,Family Forms,,https://www.nycourts.gov/media/12866|https://www.nycourts.gov/media/12871|https://www.nycourts.gov/media/26961|https://www.nycourts.gov/media/26966,https://webfiles.nycourts.gov/public/2026-05/gf-40.pdf|https://webfiles.nycourts.gov/public/2026-05/gf-40.docx|https://webfiles.nycourts.gov/public/2026-03/custody-or-visitation-modification-petition-general-form-40.pdf|https://webfiles.nycourts.gov/public/2026-03/fillable-custody-or-visitation-modification-petition-general-form-40.pdf,gf-40.pdf|gf-40.docx|custody-or-visitation-modification-petition-general-form-40.pdf|fillable-custody-or-visitation-modification-petition-general-form-40.pdf
GF-40,Petition For Modification Of Order Of Custody Visitation,https://www.nycourts.gov/forms/petition-modification-order-custody-visitation?topic=611&wrapped=true,GF-40,"Family Forms, Child Custody or Visitation, General - Family",,https://www.nycourts.gov/media/12866|https://www.nycourts.gov/media/12871,https://webfiles.nycourts.gov/public/2026-05/gf-40.pdf|https://webfiles.nycourts.gov/public/2026-05/gf-40.docx,gf-40.pdf|gf-40.docx
GF-41,Petition for Enforcement of Order of Custody or Visitation made by Supreme Court or Family Court,https://www.nycourts.gov/forms/petition-enforcement-order-custody-or-visitation-made-supreme-court-or-family-court?topic=611&wrapped=true,GF-41,"Family Forms, Child Custody or Visitation",,https://www.nycourts.gov/media/37156|https://www.nycourts.gov/media/26946|https://www.nycourts.gov/media/26951,https://webfiles.nycourts.gov/public/2026-05/gf-41.pdf|https://webfiles.nycourts.gov/public/2026-03/gf-41-enforcement-violation-of-an-order-of-custody-visitation-petition-ncfc-10-21-2015-wpd.pdf|https://webfiles.nycourts.gov/public/2026-03/fillable-gf-41-enforcement-violation-of-an-order-of-custody-visitation-petition-ncfc-10-21-2015-wpd.pdf,gf-41.pdf|gf-41-enforcement-violation-of-an-order-of-custody-visitation-petition-ncfc-10-21-2015-wpd.pdf|fillable-gf-41-enforcement-violation-of-an-order-of-custody-visitation-petition-ncfc-10-21-2015-wpd.pdf
GF-42,Special Immigrant Juvenile Status - Order,https://www.nycourts.gov/forms/special-immigrant-juvenile-status-order?topic=611&wrapped=true,GF-42,"Family Forms, General - Family",,https://www.nycourts.gov/media/14071|https://www.nycourts.gov/media/14076,https://webfiles.nycourts.gov/public/2025-12/gf-42.pdf|https://webfiles.nycourts.gov/public/2025-12/gf-42.docx,gf-42.pdf|gf-42.docx
GF-42,Special Immigrant Juvenile Status Order,https://www.nycourts.gov/forms/special-immigrant-juvenile-status-order-0?topic=611&wrapped=true,GF-42,"Family Forms, Child Custody or Visitation",,https://www.nycourts.gov/media/14071|https://www.nycourts.gov/media/14076,https://webfiles.nycourts.gov/public/2025-12/gf-42.pdf|https://webfiles.nycourts.gov/public/2025-12/gf-42.docx,gf-42.pdf|gf-42.docx
GF-43,Petition for Voter Registration Confidentiality,https://www.nycourts.gov/forms/petition-voter-registration-confidentiality?topic=611&wrapped=true,GF-43,"Family Forms, General - Family",,https://www.nycourts.gov/media/14081|https://www.nycourts.gov/media/14086,https://webfiles.nycourts.gov/public/2025-12/gf-43.pdf|https://webfiles.nycourts.gov/public/2025-12/gf-43.docx,gf-43.pdf|gf-43.docx
GF19,Petition for Transfer of Proceeding Concerning an Indian Child,https://www.nycourts.gov/forms/petition-transfer-proceeding-concerning-indian-child?topic=611&wrapped=true,GF19,"Family Forms, General - Family",,https://www.nycourts.gov/media/13711|https://www.nycourts.gov/media/13716,https://webfiles.nycourts.gov/public/2026-05/gf-19.pdf|https://webfiles.nycourts.gov/public/2026-05/gf-19.docx,gf-19.pdf|gf-19.docx
OCFS-3937,Request for Information - Private Adoption,https://www.nycourts.gov/forms/request-information-private-adoption?topic=611&wrapped=true,OCFS-3937,"Family Forms, Adoption - Family",,https://www.nycourts.gov/media/17041,https://webfiles.nycourts.gov/public/2026-01/ocfs-3937.pdf,ocfs-3937.pdf
PH-4-b,Statement to Court of Permanency Hearing Reports and/or Notices Sent,https://www.nycourts.gov/forms/statement-court-permanency-hearing-reports-andor-notices-sent-0?topic=611&wrapped=true,PH-4-b,"Family Forms, Permanency Hearings: Foster Care Reentry",,https://www.nycourts.gov/media/16246|https://www.nycourts.gov/media/16251|https://www.nycourts.gov/media/16256,https://webfiles.nycourts.gov/public/2025-12/ph-4b.pdf|https://webfiles.nycourts.gov/public/2025-12/ph-4b.docx|https://webfiles.nycourts.gov/public/2025-12/ph-4b.WPD,ph-4b.pdf|ph-4b.docx|ph-4b.WPD
